country_satis,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,1.13669531095623,5.0,3.0,3.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Somewhat unfavorable,Somewhat bad,Greece,0.315661350057923,5.0,,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.946725325858635,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,2.23832218205114,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,1.95146530068103,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,2.13045867382033,5.0,2.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat unfavorable,Somewhat bad,Greece,0.592298712715246,5.0,2.0,3.0,3.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,Greece,0.933199347827802,5.0,1.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.26922487930264,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.65853369767669,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.858294402559835,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,0.617246717131447,5.0,2.0,2.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat bad,Greece,0.245402243247957,5.0,,,3.0
Dissatisfied,Somewhat favorable,Don’t know (DO NOT READ),Very bad,Greece,0.329147768933851,5.0,2.0,,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,1.3677007354477,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Don’t know (DO NOT READ),Somewhat bad,Greece,0.627151576335264,5.0,2.0,,3.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Greece,1.24535248159831,5.0,,,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,0.507992690325789,5.0,3.0,2.0,3.0
Satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat good,Greece,0.721246495458492,2.0,3.0,2.0,2.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.591980528842719,5.0,3.0,3.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,0.642693905025687,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.28538781005137,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Greece,1.18396105768544,5.0,3.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.18396105768544,5.0,2.0,2.0,3.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Greece,1.92808171507706,5.0,2.0,2.0,3.0
Dissatisfied,Very unfavorable,Very unfavorable,Very bad,Greece,1.36320999491759,5.0,4.0,4.0,4.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Very bad,Greece,1.34278291915526,5.0,,,4.0
Dissatisfied,Somewhat unfavorable,Somewhat favorable,Very bad,Greece,0.285733650459638,5.0,3.0,2.0,4.0
Dissatisfied,Somewhat favorable,Somewhat favorable,Very bad,Greece,1.34991267014096,5.0,2.0,2.0,4.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,1.34991267014096,5.0,3.0,3.0,3.0
Dissatisfied,Don’t know (DO NOT READ),Don’t know (DO NOT READ),Somewhat bad,Greece,0.618413630801999,5.0,,,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Very bad,Greece,0.245402243247957,5.0,3.0,3.0,4.0
Dissatisfied,Very favorable,Somewhat unfavorable,Somewhat bad,Greece,0.63170442422521,5.0,1.0,3.0,3.0
Dissatisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Greece,0.355788285667031,5.0,3.0,3.0,3.0
