satisfied_democracy,fav_us,fav_china,econ_sit,country,weight,satisfaction_value,fav_us_value,fav_China_value,econ_value
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat bad,Canada ,1.35581751483938,3.0,2.0,4.0,3.0
Somewhat satisfied,Somewhat unfavorable,Somewhat favorable,Somewhat bad,Canada ,0.257325324314958,3.0,3.0,2.0,3.0
Somewhat satisfied,Somewhat favorable,Somewhat unfavorable,Very bad,Canada ,0.834132657929397,3.0,2.0,3.0,4.0
Somewhat satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.947130636712958,3.0,3.0,3.0,3.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.224214443918588,3.0,2.0,4.0,2.0
Somewhat satisfied,Very favorable,Very favorable,Somewhat good,Canada ,0.844590368437203,3.0,1.0,1.0,2.0
Very satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,1.2251234842197,1.0,2.0,4.0,2.0
Somewhat satisfied,Very unfavorable,Very unfavorable,Somewhat bad,Canada ,0.224530659346596,3.0,4.0,4.0,3.0
Not too satisfied,Very unfavorable,Very unfavorable,Somewhat good,Canada ,0.965352745333202,4.0,4.0,4.0,2.0
Somewhat satisfied,Somewhat favorable,Somewhat favorable,Somewhat bad,Canada ,0.334619494732929,3.0,2.0,2.0,3.0
Not too satisfied,Very favorable,Somewhat unfavorable,Somewhat bad,Canada ,1.34364089978057,4.0,1.0,3.0,3.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,0.524051575640483,3.0,3.0,4.0,2.0
Not too satisfied,Somewhat unfavorable,Somewhat unfavorable,Somewhat bad,Canada ,0.278589412658088,4.0,3.0,3.0,3.0
Very satisfied,Somewhat favorable,Somewhat unfavorable,Somewhat good,Canada ,0.947130636712958,1.0,2.0,3.0,2.0
Somewhat satisfied,Somewhat favorable,Very unfavorable,Somewhat good,Canada ,0.524051575640483,3.0,2.0,4.0,2.0
Somewhat satisfied,Somewhat unfavorable,Very unfavorable,Somewhat good,Canada ,2.06253574112565,3.0,3.0,4.0,2.0
Not too satisfied,Very unfavorable,Very unfavorable,Very good,Canada ,0.295337382571308,4.0,4.0,4.0,1.0
Not too satisfied,Somewhat favorable,Very unfavorable,Very bad,Canada ,0.796051296463716,4.0,2.0,4.0,4.0
Very satisfied,Somewhat unfavorable,Very unfavorable,Somewhat bad,Canada ,0.224214443918588,1.0,3.0,4.0,3.0
